1,1,10:00:00,17:00:00,2023-04-01
2,1,10:00:00,17:00:00,2023-04-02
3,1,10:00:00,17:00:00,2023-04-03
4,1,NULL,NULL,2023-04-04
5,1,10:00:00,17:00:00,2023-04-05
6,1,10:00:00,17:00:00,2023-04-06
7,1,10:00:00,17:00:00,2023-04-07
8,1,10:00:00,17:00:00,2023-04-08
9,1,10:00:00,17:00:00,2023-04-09
10,1,10:00:00,17:00:00,2023-04-10
11,1,NULL,NULL,2023-04-11
12,1,10:00:00,17:00:00,2023-04-12
13,1,10:00:00,17:00:00,2023-04-13
14,1,10:00:00,17:00:00,2023-04-14
15,1,10:00:00,17:00:00,2023-04-15
16,1,10:00:00,17:00:00,2023-04-16
17,1,10:00:00,17:00:00,2023-04-17
18,1,NULL,NULL,2023-04-18
19,1,10:00:00,17:00:00,2023-04-19
20,1,10:00:00,17:00:00,2023-04-20
21,1,10:00:00,17:00:00,2023-04-21
22,1,10:00:00,17:00:00,2023-04-22
23,1,10:00:00,17:00:00,2023-04-23
24,1,10:00:00,17:00:00,2023-04-24
25,1,NULL,NULL,2023-04-25
26,1,10:00:00,17:00:00,2023-04-26
27,1,10:00:00,17:00:00,2023-04-27
28,1,10:00:00,17:00:00,2023-04-28
29,1,10:00:00,17:00:00,2023-04-29
30,1,10:00:00,17:00:00,2023-04-30
31,2,14:00:00,22:00:00,2023-04-01
32,2,14:00:00,22:00:00,2023-04-02
33,2,14:00:00,22:00:00,2023-04-03
34,2,NULL,NULL,2023-04-04
35,2,14:00:00,22:00:00,2023-04-05
36,2,14:00:00,22:00:00,2023-04-06
37,2,14:00:00,22:00:00,2023-04-07
38,2,14:00:00,22:00:00,2023-04-08
39,2,NULL,NULL,2023-04-09
40,2,14:00:00,22:00:00,2023-04-10
41,2,NULL,NULL,2023-04-11
42,2,14:00:00,22:00:00,2023-04-12
43,2,NULL,22:00:00,2023-04-13
44,2,14:00:00,22:00:00,2023-04-14
45,2,14:00:00,NULL,2023-04-15
46,2,14:00:00,22:00:00,2023-04-16
47,2,14:00:00,22:00:00,2023-04-17
48,2,NULL,NULL,2023-04-18
49,2,14:00:00,22:00:00,2023-04-19
50,2,14:00:00,22:00:00,2023-04-20
51,2,14:00:00,22:00:00,2023-04-21
52,2,14:00:00,22:00:00,2023-04-22
53,2,14:00:00,22:00:00,2023-04-23
54,2,14:00:00,22:00:00,2023-04-24
55,2,NULL,NULL,2023-04-25
56,2,NULL,22:00:00,2023-04-26
57,2,14:00:00,22:00:00,2023-04-27
58,2,14:00:00,22:00:00,2023-04-28
59,2,14:00:00,22:00:00,2023-04-29
60,2,14:00:00,22:00:00,2023-04-30
61,3,17:00:00,23:00:00,2023-04-01
62,3,17:00:00,NULL,2023-04-02
63,3,17:00:00,23:00:00,2023-04-03
64,3,NULL,NULL,2023-04-04
65,3,17:00:00,23:00:00,2023-04-05
66,3,17:00:00,23:00:00,2023-04-06
67,3,17:00:00,23:00:00,2023-04-07
68,3,17:00:00,23:00:00,2023-04-08
